id,marke,modell,variante,kategorie,preis_chf,reichweite_wltp,batterie_kwh,verbrauch_kwh,leistung_kw,leistung_ps,drehmoment_nm,antrieb,null_hundert,vmax,ladeleistung_ac,ladeleistung_dc,ladezeit_dc,kofferraum_l,sitze,gewicht_kg,laenge_mm,breite_mm,hoehe_mm,radstand_mm,garantie_batterie,baujahr,bild_url,verfuegbar
1,Tesla,Model 3,Standard Range,Limousine,42990,513,60,14.2,208,283,420,Hinterrad,6.1,225,11,170,25,561,5,1765,4720,1849,1441,2875,8 Jahre / 160000 km,2024,tesla-model-3.jpg,ja
2,Tesla,Model 3,Long Range,Limousine,52990,678,82,14.9,324,441,493,Allrad,4.4,233,11,250,22,561,5,1830,4720,1849,1441,2875,8 Jahre / 192000 km,2024,tesla-model-3.jpg,ja
3,Tesla,Model 3,Performance,Limousine,58990,547,82,16.5,377,513,660,Allrad,3.1,261,11,250,22,561,5,1830,4720,1849,1441,2875,8 Jahre / 192000 km,2024,tesla-model-3.jpg,ja
4,Tesla,Model Y,Standard Range,SUV,46990,455,60,15.7,220,299,420,Hinterrad,6.9,217,11,170,27,854,5,1909,4751,1921,1624,2890,8 Jahre / 160000 km,2024,tesla-model-y.jpg,ja
5,Tesla,Model Y,Long Range,SUV,56990,533,82,16.9,378,514,493,Allrad,5.0,217,11,250,24,854,5,2003,4751,1921,1624,2890,8 Jahre / 192000 km,2024,tesla-model-y.jpg,ja
6,Tesla,Model Y,Performance,SUV,62990,514,82,17.1,393,534,660,Allrad,3.7,250,11,250,24,854,5,2003,4751,1921,1624,2890,8 Jahre / 192000 km,2024,tesla-model-y.jpg,ja
7,Tesla,Model S,Dual Motor,Limousine,99990,634,100,18.1,493,670,755,Allrad,3.2,250,11,250,25,793,5,2162,4970,1964,1445,2960,8 Jahre / 240000 km,2024,tesla-model-s.jpg,ja
8,Tesla,Model S,Plaid,Limousine,119990,600,100,18.5,760,1034,1420,Allrad,2.1,322,11,250,25,793,5,2162,4970,1964,1445,2960,8 Jahre / 240000 km,2024,tesla-model-s.jpg,ja
9,Tesla,Model X,Dual Motor,SUV,109990,576,100,19.3,493,670,755,Allrad,3.9,250,11,250,26,1050,7,2455,5057,1999,1680,2965,8 Jahre / 240000 km,2024,tesla-model-x.jpg,ja
10,Tesla,Model X,Plaid,SUV,129990,543,100,20.2,760,1034,1420,Allrad,2.6,262,11,250,26,1050,7,2455,5057,1999,1680,2965,8 Jahre / 240000 km,2024,tesla-model-x.jpg,ja
11,BMW,iX1,eDrive20,SUV,56900,440,64.7,17.3,150,204,250,Vorderrad,8.6,170,11,130,29,490,5,1950,4500,1845,1616,2692,8 Jahre / 160000 km,2024,bmw-ix1.jpg,ja
12,BMW,iX1,xDrive30,SUV,62500,439,64.7,17.6,230,313,494,Allrad,5.6,180,11,130,29,490,5,2030,4500,1845,1616,2692,8 Jahre / 160000 km,2024,bmw-ix1.jpg,ja
13,BMW,iX3,eDrive,SUV,72900,461,80,18.9,210,286,400,Hinterrad,6.8,180,11,150,31,510,5,2185,4734,1891,1668,2864,8 Jahre / 160000 km,2024,bmw-ix3.jpg,ja
14,BMW,i4,eDrive35,Limousine,59900,483,66,16.1,210,286,400,Hinterrad,6.0,190,11,180,31,470,5,2050,4783,1852,1448,2856,8 Jahre / 160000 km,2024,bmw-i4.jpg,ja
15,BMW,i4,eDrive40,Limousine,69900,590,83.9,16.1,250,340,430,Hinterrad,5.7,190,11,200,31,470,5,2125,4783,1852,1448,2856,8 Jahre / 160000 km,2024,bmw-i4.jpg,ja
16,BMW,i4,M50,Limousine,84900,521,83.9,18.1,400,544,795,Allrad,3.9,225,11,200,31,470,5,2215,4783,1852,1448,2856,8 Jahre / 160000 km,2024,bmw-i4.jpg,ja
17,BMW,i5,eDrive40,Limousine,79900,497,81.2,18.2,250,340,400,Hinterrad,6.0,193,11,205,30,490,5,2160,5060,1900,1515,2995,8 Jahre / 160000 km,2024,bmw-i5.jpg,ja
18,BMW,i5,M60,Limousine,109900,455,81.2,19.6,442,601,820,Allrad,3.8,230,11,205,30,490,5,2305,5060,1900,1515,2995,8 Jahre / 160000 km,2024,bmw-i5.jpg,ja
19,BMW,i7,eDrive50,Limousine,129900,590,101.7,19.6,335,455,550,Hinterrad,5.5,240,11,195,34,500,5,2510,5391,1950,1544,3215,8 Jahre / 160000 km,2024,bmw-i7.jpg,ja
20,BMW,i7,xDrive60,Limousine,149900,590,101.7,19.6,400,544,745,Allrad,4.7,240,11,195,34,500,5,2640,5391,1950,1544,3215,8 Jahre / 160000 km,2024,bmw-i7.jpg,ja
21,BMW,iX,xDrive40,SUV,89900,425,71,19.4,240,326,630,Allrad,6.1,200,11,150,31,500,5,2440,4953,1967,1696,3000,8 Jahre / 160000 km,2024,bmw-ix.jpg,ja
22,BMW,iX,xDrive50,SUV,109900,626,111.5,19.8,385,523,765,Allrad,4.6,200,11,200,35,500,5,2510,4953,1967,1696,3000,8 Jahre / 160000 km,2024,bmw-ix.jpg,ja
23,BMW,iX,M60,SUV,139900,566,111.5,21.9,455,619,1100,Allrad,3.8,250,11,200,35,500,5,2635,4953,1967,1696,3000,8 Jahre / 160000 km,2024,bmw-ix.jpg,ja
24,Mercedes,EQA,250,SUV,54900,478,70.5,17.7,140,190,385,Vorderrad,8.6,160,11,100,32,340,5,2040,4463,1834,1620,2729,8 Jahre / 160000 km,2024,mercedes-eqa.jpg,ja
25,Mercedes,EQA,250+,SUV,58900,560,70.5,15.7,140,190,385,Vorderrad,8.6,160,11,100,32,340,5,2040,4463,1834,1620,2729,8 Jahre / 160000 km,2024,mercedes-eqa.jpg,ja
26,Mercedes,EQA,350 4MATIC,SUV,62900,432,70.5,18.8,215,292,520,Allrad,6.0,160,11,100,32,340,5,2185,4463,1834,1620,2729,8 Jahre / 160000 km,2024,mercedes-eqa.jpg,ja
27,Mercedes,EQB,250+,SUV,59900,535,70.5,16.4,140,190,385,Vorderrad,9.2,160,11,100,32,495,7,2175,4684,1834,1701,2829,8 Jahre / 160000 km,2024,mercedes-eqb.jpg,ja
28,Mercedes,EQB,350 4MATIC,SUV,64900,423,70.5,19.2,215,292,520,Allrad,6.2,160,11,100,32,495,7,2285,4684,1834,1701,2829,8 Jahre / 160000 km,2024,mercedes-eqb.jpg,ja
29,Mercedes,EQC,400 4MATIC,SUV,79900,432,80,21.5,300,408,760,Allrad,5.1,180,11,110,40,500,5,2495,4762,1884,1624,2873,8 Jahre / 160000 km,2024,mercedes-eqc.jpg,ja
30,Mercedes,EQE,300,Limousine,79900,639,90.6,16.5,180,245,565,Hinterrad,7.3,210,11,170,32,430,5,2355,4946,1906,1512,3120,8 Jahre / 160000 km,2024,mercedes-eqe.jpg,ja
31,Mercedes,EQE,350+,Limousine,89900,654,90.6,16.1,215,292,565,Hinterrad,6.4,210,11,170,32,430,5,2355,4946,1906,1512,3120,8 Jahre / 160000 km,2024,mercedes-eqe.jpg,ja
32,Mercedes,EQE,43 AMG,Limousine,109900,533,90.6,19.5,350,476,858,Allrad,4.2,210,11,170,32,430,5,2525,4946,1906,1512,3120,8 Jahre / 160000 km,2024,mercedes-eqe.jpg,ja
33,Mercedes,EQS,450+,Limousine,119900,782,108.4,15.7,265,360,568,Hinterrad,6.2,210,11,200,31,610,5,2480,5216,1926,1512,3210,8 Jahre / 160000 km,2024,mercedes-eqs.jpg,ja
34,Mercedes,EQS,580 4MATIC,Limousine,149900,676,108.4,18.4,385,523,828,Allrad,4.3,210,11,200,31,610,5,2585,5216,1926,1512,3210,8 Jahre / 160000 km,2024,mercedes-eqs.jpg,ja
35,VW,ID.3,Pure,Kompakt,39990,343,58,16.9,125,170,310,Hinterrad,9.0,160,11,120,30,385,5,1805,4261,1809,1552,2771,8 Jahre / 160000 km,2024,vw-id3.jpg,ja
36,VW,ID.3,Pro,Kompakt,44990,426,77,15.8,150,204,310,Hinterrad,7.9,160,11,170,29,385,5,1860,4261,1809,1552,2771,8 Jahre / 160000 km,2024,vw-id3.jpg,ja
37,VW,ID.3,Pro S,Kompakt,49990,553,77,15.5,150,204,310,Hinterrad,7.9,160,11,170,29,385,5,1860,4261,1809,1552,2771,8 Jahre / 160000 km,2024,vw-id3.jpg,ja
38,VW,ID.4,Pure,SUV,47990,361,52,16.3,125,170,310,Hinterrad,9.0,160,11,135,28,543,5,1995,4584,1852,1640,2771,8 Jahre / 160000 km,2024,vw-id4.jpg,ja
39,VW,ID.4,Pro,SUV,53990,514,77,16.3,150,204,310,Hinterrad,8.5,160,11,175,29,543,5,2054,4584,1852,1640,2771,8 Jahre / 160000 km,2024,vw-id4.jpg,ja
40,VW,ID.4,GTX,SUV,59990,488,77,17.9,220,299,460,Allrad,6.3,180,11,175,29,543,5,2174,4584,1852,1640,2771,8 Jahre / 160000 km,2024,vw-id4.jpg,ja
41,VW,ID.5,Pro,SUV,55990,520,77,16.3,150,204,310,Hinterrad,8.4,160,11,175,29,549,5,2054,4599,1852,1615,2771,8 Jahre / 160000 km,2024,vw-id5.jpg,ja
42,VW,ID.5,GTX,SUV,61990,496,77,17.9,220,299,460,Allrad,6.3,180,11,175,29,549,5,2174,4599,1852,1615,2771,8 Jahre / 160000 km,2024,vw-id5.jpg,ja
43,VW,ID.7,Pro,Limousine,62990,615,77,14.1,210,286,545,Hinterrad,6.5,180,11,175,28,532,5,2150,4961,1862,1536,2971,8 Jahre / 160000 km,2024,vw-id7.jpg,ja
44,VW,ID.7,Pro S,Limousine,69990,700,86,14.0,210,286,545,Hinterrad,6.5,180,11,200,26,532,5,2200,4961,1862,1536,2971,8 Jahre / 160000 km,2024,vw-id7.jpg,ja
45,Hyundai,Ioniq 5,58 kWh,SUV,47990,384,58,16.7,125,170,350,Hinterrad,8.5,185,11,220,18,527,5,1950,4635,1890,1605,3000,8 Jahre / 160000 km,2024,hyundai-ioniq5.jpg,ja
46,Hyundai,Ioniq 5,77 kWh,SUV,53990,507,77,17.0,168,229,350,Hinterrad,7.4,185,11,220,18,527,5,2020,4635,1890,1605,3000,8 Jahre / 160000 km,2024,hyundai-ioniq5.jpg,ja
47,Hyundai,Ioniq 5,77 kWh AWD,SUV,57990,481,77,18.1,239,325,605,Allrad,5.1,185,11,220,18,527,5,2100,4635,1890,1605,3000,8 Jahre / 160000 km,2024,hyundai-ioniq5.jpg,ja
48,Hyundai,Ioniq 5,N,SUV,79990,448,84,20.5,478,650,770,Allrad,3.4,260,11,350,18,527,5,2235,4715,1940,1585,3000,8 Jahre / 160000 km,2024,hyundai-ioniq5.jpg,ja
49,Hyundai,Ioniq 6,53 kWh,Limousine,47990,429,53,14.3,111,151,350,Hinterrad,9.0,185,11,220,18,401,5,1895,4855,1880,1495,2950,8 Jahre / 160000 km,2024,hyundai-ioniq6.jpg,ja
50,Hyundai,Ioniq 6,77 kWh,Limousine,55990,614,77,14.3,168,229,350,Hinterrad,7.4,185,11,220,18,401,5,1985,4855,1880,1495,2950,8 Jahre / 160000 km,2024,hyundai-ioniq6.jpg,ja
51,Hyundai,Ioniq 6,77 kWh AWD,Limousine,59990,583,77,15.1,239,325,605,Allrad,5.1,185,11,220,18,401,5,2045,4855,1880,1495,2950,8 Jahre / 160000 km,2024,hyundai-ioniq6.jpg,ja
52,Kia,EV6,58 kWh,SUV,49990,394,58,16.5,125,170,350,Hinterrad,8.5,185,11,240,18,490,5,1930,4680,1880,1550,2900,7 Jahre / 150000 km,2024,kia-ev6.jpg,ja
53,Kia,EV6,77 kWh,SUV,55990,528,77,16.5,168,229,350,Hinterrad,7.3,185,11,240,18,490,5,2015,4680,1880,1550,2900,7 Jahre / 150000 km,2024,kia-ev6.jpg,ja
54,Kia,EV6,GT,SUV,74990,424,77,20.6,430,585,740,Allrad,3.5,260,11,240,18,490,5,2205,4695,1890,1545,2900,7 Jahre / 150000 km,2024,kia-ev6.jpg,ja
55,Kia,EV9,76 kWh,SUV,74990,443,76,19.8,150,204,350,Hinterrad,8.2,185,11,240,24,828,7,2575,5015,1980,1780,3100,7 Jahre / 150000 km,2024,kia-ev9.jpg,ja
56,Kia,EV9,99 kWh AWD,SUV,84990,541,99,20.3,283,385,600,Allrad,5.3,200,11,240,24,828,7,2705,5015,1980,1780,3100,7 Jahre / 150000 km,2024,kia-ev9.jpg,ja
57,Audi,Q4 e-tron,35,SUV,52900,341,52,17.0,125,170,310,Hinterrad,9.0,160,11,130,28,520,5,1970,4590,1865,1632,2764,8 Jahre / 160000 km,2024,audi-q4.jpg,ja
58,Audi,Q4 e-tron,40,SUV,57900,520,82,17.0,150,204,310,Hinterrad,8.5,160,11,175,29,520,5,2040,4590,1865,1632,2764,8 Jahre / 160000 km,2024,audi-q4.jpg,ja
59,Audi,Q4 e-tron,50 quattro,SUV,62900,488,82,18.0,220,299,460,Allrad,6.2,180,11,175,29,520,5,2135,4590,1865,1632,2764,8 Jahre / 160000 km,2024,audi-q4.jpg,ja
60,Audi,Q8 e-tron,50,SUV,89900,491,95,20.1,250,340,664,Allrad,6.0,200,11,170,31,569,5,2520,4915,1937,1633,2928,8 Jahre / 160000 km,2024,audi-q8-etron.jpg,ja
61,Audi,Q8 e-tron,55,SUV,99900,582,114,20.6,300,408,664,Allrad,5.6,200,11,170,31,569,5,2595,4915,1937,1633,2928,8 Jahre / 160000 km,2024,audi-q8-etron.jpg,ja
62,Audi,e-tron GT,quattro,Limousine,109900,488,93,19.6,350,476,630,Allrad,4.1,245,11,270,23,405,4,2340,4989,1964,1396,2900,8 Jahre / 160000 km,2024,audi-etron-gt.jpg,ja
63,Audi,RS e-tron GT,quattro,Limousine,149900,472,93,20.2,475,646,830,Allrad,3.3,250,11,270,23,405,4,2350,4989,1964,1396,2900,8 Jahre / 160000 km,2024,audi-etron-gt.jpg,ja
64,Porsche,Taycan,Base,Limousine,99900,431,79.2,19.8,300,408,410,Hinterrad,5.4,230,11,270,22,407,4,2140,4963,1966,1381,2900,8 Jahre / 160000 km,2024,porsche-taycan.jpg,ja
65,Porsche,Taycan,4S,Limousine,119900,464,93.4,19.8,360,490,650,Allrad,4.0,250,11,270,22,407,4,2220,4963,1966,1381,2900,8 Jahre / 160000 km,2024,porsche-taycan.jpg,ja
66,Porsche,Taycan,Turbo,Limousine,169900,435,93.4,21.6,500,680,850,Allrad,3.2,260,11,270,22,407,4,2305,4963,1966,1381,2900,8 Jahre / 160000 km,2024,porsche-taycan.jpg,ja
67,Porsche,Taycan,Turbo S,Limousine,199900,412,93.4,23.4,560,761,1050,Allrad,2.8,260,11,270,22,407,4,2370,4963,1966,1381,2900,8 Jahre / 160000 km,2024,porsche-taycan.jpg,ja
68,BYD,Atto 3,Standard,SUV,38990,420,60.5,16.5,150,204,310,Vorderrad,7.3,160,7.2,88,29,440,5,1750,4455,1875,1615,2720,8 Jahre / 160000 km,2024,byd-atto3.jpg,ja
69,BYD,Atto 3,Extended,SUV,42990,520,70.3,15.8,150,204,310,Vorderrad,7.3,160,7.2,88,29,440,5,1815,4455,1875,1615,2720,8 Jahre / 160000 km,2024,byd-atto3.jpg,ja
70,BYD,Seal,Design,Limousine,47990,570,82.5,16.3,230,313,360,Hinterrad,5.9,180,11,150,26,400,5,2015,4800,1875,1460,2920,8 Jahre / 160000 km,2024,byd-seal.jpg,ja
71,BYD,Seal,Excellence AWD,Limousine,54990,520,82.5,18.2,390,530,670,Allrad,3.8,180,11,150,26,400,5,2150,4800,1875,1460,2920,8 Jahre / 160000 km,2024,byd-seal.jpg,ja
72,BYD,Dolphin,Active,Kompakt,33990,340,44.9,14.6,70,95,180,Vorderrad,12.3,150,7.2,60,32,345,5,1520,4290,1770,1570,2700,8 Jahre / 160000 km,2024,byd-dolphin.jpg,ja
73,BYD,Dolphin,Boost,Kompakt,37990,427,60.4,14.8,150,204,310,Vorderrad,7.0,160,7.2,88,32,345,5,1625,4290,1770,1570,2700,8 Jahre / 160000 km,2024,byd-dolphin.jpg,ja
74,BYD,Han,Excellence,Limousine,69990,521,85.4,18.5,380,517,700,Allrad,3.9,180,11,120,40,410,5,2250,4995,1910,1495,2920,8 Jahre / 160000 km,2024,byd-han.jpg,ja
75,BYD,Tang,Excellence AWD,SUV,72990,400,86.4,24.2,380,517,680,Allrad,4.6,180,11,110,30,940,7,2510,4970,1955,1745,2820,8 Jahre / 160000 km,2024,byd-tang.jpg,ja
76,Skoda,Enyaq,60,SUV,47990,398,62,16.1,132,180,310,Hinterrad,8.7,160,11,135,30,585,5,1990,4649,1879,1616,2765,8 Jahre / 160000 km,2024,skoda-enyaq.jpg,ja
77,Skoda,Enyaq,80,SUV,52990,536,82,15.8,150,204,310,Hinterrad,8.2,160,11,175,29,585,5,2060,4649,1879,1616,2765,8 Jahre / 160000 km,2024,skoda-enyaq.jpg,ja
78,Skoda,Enyaq,85x,SUV,57990,539,82,16.1,210,286,425,Allrad,6.7,180,11,175,29,585,5,2160,4649,1879,1616,2765,8 Jahre / 160000 km,2024,skoda-enyaq.jpg,ja
79,Skoda,Enyaq,RS,SUV,64990,514,82,17.4,220,299,460,Allrad,6.5,180,11,175,29,570,5,2205,4649,1879,1616,2765,8 Jahre / 160000 km,2024,skoda-enyaq.jpg,ja
80,Volvo,EX30,Single Motor,SUV,38500,344,51,16.7,200,272,343,Hinterrad,5.7,180,11,153,26,318,5,1790,4233,1837,1550,2650,8 Jahre / 160000 km,2024,volvo-ex30.jpg,ja
81,Volvo,EX30,Twin Motor,SUV,48500,460,69,17.1,315,428,543,Allrad,3.6,180,11,153,26,318,5,1920,4233,1837,1550,2650,8 Jahre / 160000 km,2024,volvo-ex30.jpg,ja
82,Volvo,EX40,Single Motor,SUV,52900,476,69,17.1,185,252,420,Hinterrad,7.3,180,11,200,27,452,5,2030,4440,1873,1596,2702,8 Jahre / 160000 km,2024,volvo-ex40.jpg,ja
83,Volvo,EX40,Twin Motor,SUV,58900,438,82,18.8,300,408,670,Allrad,4.9,180,11,200,27,452,5,2188,4440,1873,1596,2702,8 Jahre / 160000 km,2024,volvo-ex40.jpg,ja
84,Volvo,EC40,Single Motor,SUV,55900,481,69,17.2,185,252,420,Hinterrad,7.3,180,11,200,27,413,5,2030,4440,1873,1578,2702,8 Jahre / 160000 km,2024,volvo-ec40.jpg,ja
85,Volvo,EX90,Twin Motor,SUV,99900,580,111,19.8,300,408,770,Allrad,5.9,180,11,250,30,655,7,2818,5037,2024,1747,2985,8 Jahre / 160000 km,2024,volvo-ex90.jpg,ja
86,Polestar,2,Standard Range,Limousine,49990,478,69,16.6,200,272,490,Hinterrad,6.4,205,11,205,28,405,5,2020,4606,1859,1482,2735,8 Jahre / 160000 km,2024,polestar-2.jpg,ja
87,Polestar,2,Long Range,Limousine,55990,551,82,17.0,220,299,490,Hinterrad,6.2,205,11,205,28,405,5,2105,4606,1859,1482,2735,8 Jahre / 160000 km,2024,polestar-2.jpg,ja
88,Polestar,2,Long Range Dual,Limousine,61990,487,82,18.6,310,421,740,Allrad,4.5,205,11,205,28,405,5,2165,4606,1859,1482,2735,8 Jahre / 160000 km,2024,polestar-2.jpg,ja
89,Polestar,4,Long Range,SUV,64990,590,100,17.6,200,272,343,Hinterrad,7.1,200,11,200,30,526,5,2295,4839,2139,1544,2999,8 Jahre / 160000 km,2024,polestar-4.jpg,ja
90,Polestar,4,Long Range Dual,SUV,72990,560,100,18.4,400,544,686,Allrad,3.8,200,11,200,30,526,5,2430,4839,2139,1544,2999,8 Jahre / 160000 km,2024,polestar-4.jpg,ja
91,Cupra,Born,110 kW,Kompakt,39990,340,58,16.8,110,150,220,Hinterrad,9.0,160,11,120,30,385,5,1800,4322,1809,1537,2765,8 Jahre / 160000 km,2024,cupra-born.jpg,ja
92,Cupra,Born,170 kW,Kompakt,44990,424,77,15.8,170,231,310,Hinterrad,7.3,160,11,135,29,385,5,1865,4322,1809,1537,2765,8 Jahre / 160000 km,2024,cupra-born.jpg,ja
93,Cupra,Born,VZ,Kompakt,49990,548,77,15.4,170,231,310,Hinterrad,7.0,160,11,170,28,385,5,1865,4322,1809,1537,2765,8 Jahre / 160000 km,2024,cupra-born.jpg,ja
94,Cupra,Tavascan,VZ,SUV,59990,517,82,17.5,250,340,545,Allrad,5.6,180,11,175,28,540,5,2133,4644,1861,1597,2766,8 Jahre / 160000 km,2024,cupra-tavascan.jpg,ja
95,Renault,Megane E-Tech,EV40,Kompakt,42990,300,40,15.5,96,131,250,Vorderrad,10.0,150,7.4,85,37,440,5,1624,4200,1768,1505,2700,8 Jahre / 160000 km,2024,renault-megane.jpg,ja
96,Renault,Megane E-Tech,EV60,Kompakt,47990,450,60,15.5,160,218,300,Vorderrad,7.4,160,7.4,130,30,440,5,1695,4200,1768,1505,2700,8 Jahre / 160000 km,2024,renault-megane.jpg,ja
97,Renault,Scenic E-Tech,Long Range,SUV,49990,620,87,16.8,160,218,300,Vorderrad,8.4,170,22,150,27,545,5,1889,4470,1866,1571,2785,8 Jahre / 160000 km,2024,renault-scenic.jpg,ja
98,MG,MG4,Standard,Kompakt,31990,350,51,15.8,125,170,250,Hinterrad,8.5,160,6.6,87,35,363,5,1655,4287,1836,1516,2705,7 Jahre / 150000 km,2024,mg-mg4.jpg,ja
99,MG,MG4,Long Range,Kompakt,36990,450,64,15.9,150,204,250,Hinterrad,7.9,160,11,140,30,363,5,1725,4287,1836,1516,2705,7 Jahre / 150000 km,2024,mg-mg4.jpg,ja
100,MG,MG4,XPower,Kompakt,46990,385,64,18.8,320,435,600,Allrad,3.8,200,11,140,30,363,5,1875,4287,1836,1516,2705,7 Jahre / 150000 km,2024,mg-mg4.jpg,ja
